station_id,name,address,city,services
260,קרית עקרון,"המלך חסן השני  אזה""ת עקרון",קרית עקרון,פז wash | yellow | 24/7 | כספומט | בנזין 98 | פז charge | תרופות ללא מרשם
313,קרית שמונה,שדרות תל חי,קרית שמונה,yellow market | 24/7 | בנזין 98 | אוריאה
221,ראש העין - אפק,עבד אלכרים 1,כפר קאסם,פז wash | 24/7 | בנזין 98 | אוריאה | תדלוק בשירות מלא
319,ראש פינה,דרך הגליל ליד תחנת משטרת ראש פינה,ראש פינה,yellow | 24/7 | פז charge
335,רוממה,"דרך פיק""א צומת רופין",חיפה,yellow market | 24/7 | כספומט | פז charge | תדלוק בשירות מלא | מיכלי גז | תרופות ללא מרשם
136,רונית,כביש מס' 2 - כביש החוף יציאה מהרצליה לכיון תל אביב,הרצליה,yellow | 24/7 | כספומט | בנזין 98 | אוריאה | תדלוק בשירות מלא | תרופות ללא מרשם
508,רוקפלר,מוזיאון רוקפלר מזרח ירושלים,ירושלים,תדלוק בשירות מלא
134,רמה רחובות,הרצל  41,רחובות,yellow market | 24/7 | כספומט | בנזין 98 | פז charge | תרופות ללא מרשם
126,רמה רמת גן,ז'בוטינסקי  66,רמת גן,yellow | בנזין 98 | פז charge
520,רמות,הר חוצבים-שד' גולדה מאיר,ירושלים,בנזין 98 | תדלוק בשירות מלא
149,רמלה גדולה,הרצל  117,רמלה,
127,רמלה קטנה,הרצל  89,רמלה,yellow | שומרות שבת
512,רמת אשכול,פארן  5,ירושלים,yellow | שומרות שבת
506,רמת דניה,גולומב,ירושלים,yellow market | 24/7 | בנזין 98 | פז charge | תדלוק בשירות מלא | מיכלי גז | תרופות ללא מרשם
618,רמת חובב,"כביש ב""ש משאבי שדה רמת חובב",נאות חובב,אוריאה
203,רשף,סעדיה גאון  24,תל אביב - יפו,yellow | שומרות שבת
244,רשף יבנה,הסנדרין (דרך הים),יבנה,yellow | 24/7 | בנזין 98 | פז charge | אוריאה | מיכלי גז | תרופות ללא מרשם
209,שדרות,א.ת החדש-שדרות,שדרות,yellow | 24/7 | פז charge | אוריאה
173,שדרות בן צבי,שד' בן צבי  46,תל אביב - יפו,פז wash | yellow | 24/7 | בנזין 98 | פז charge | אוריאה
519,שואבה,"צומת שורש כביש ת""א-ירושלים",שואבה,"yellow | 24/7 | גפ""מ | כספומט | בנזין 98 | פז charge | אוריאה | תדלוק בשירות מלא | מיכלי גז | תרופות ללא מרשם"
272,שוהם,רחוב רימון. פארק תעשיה חבל מודיעין,שוהם,פז wash | yellow | 24/7 | פלאפל בריבוע | אוריאה
615,שוקת,צומת שוקת  קיבוץ להב.,להב,"yellow | 24/7 | גפ""מ | כספומט | בנזין 98 | פז charge | אוריאה | תרופות ללא מרשם"
199,שיאונה,הירקונים בכניסה לכפר הבפטיסטים,פתח תקווה,yellow | 24/7 | בנזין 98 | פז charge
197,שמשונים,ביאליק פינת החשמל שכונת שמשונים,אשקלון,פז wash | בנזין 98 | אוריאה | תדלוק בשירות מלא
504,שער הגיא,"מחלף שער הגיא כביש י""ם ת""א",ירושלים,yellow | 24/7 | כספומט | בנזין 98 | פז charge | תדלוק בשירות מלא
243,שער השרון,צומת טייבה כביש 444,טייבה,בנזין 98 | תדלוק בשירות מלא
383,שפרעם דרום,ואדי אסקיע  יציאה דרומית שפרעם,שפרעם,yellow | 24/7 | כספומט | פז charge | אוריאה | תדלוק בשירות מלא
321,שפרעם עיר,בכניסה לשפרעם ממערב,שפרעם,yellow | 24/7 | תדלוק בשירות מלא
234,שרונים,בן יהודה מול חטיבת ביניים בר-לב,כפר סבא,"yellow | 24/7 | גפ""מ | בנזין 98 | פז charge"
531,תחנת מוזיאון ירושלים,חניון מוזיאון ישראל,ירושלים,yellow | 24/7 | בנזין 98 | פז charge | אוריאה | תרופות ללא מרשם
624,תל שבע,בכניסה לתל שבע,תל שבע,24/7
515,תלפיות,איזור תעשיה תלפיות,ירושלים,yellow | שומרות שבת | פז charge
359,תמרה,כביש שפרעם - אחיהוד אעבלין,טמרה,פז wash | yellow | פז charge | אוריאה
237,תנובות,כביש 57 בכניסה למושב תנובות,תנובות,פז charge | תדלוק בשירות מלא
367,תענכים,כביש התענכים,עפולה,"yellow | 24/7 | גפ""מ | כספומט | בנזין 98 | פז charge | אוריאה | תרופות ללא מרשם"
